"표준노드ID","노드명","노드유형코드","회전제한여부","X좌표","Y좌표","적용시작일자"
"1540004300","북대구IC","108","Y","128.583062","35.909518","2011-03-24"
"1540004200","북대구IC","108","Y","128.576950","35.908297","2011-03-24"
"1540002200","-","104","Y","128.550298","35.897435","2011-03-24"
"1540001800","금호JC","108","Y","128.524631","35.897124","2011-03-24"
"1540001600","-","104","Y","128.546536","35.896655","2011-03-24"
"1540001000","금호JC","108","Y","128.521566","35.893211","2011-03-24"
"1540001100","금호JC","108","Y","128.532041","35.893284","2011-03-24"
"1540000100","금호JC","108","Y","128.525663","35.889314","2011-03-24"
"1510003100","동대구JC","108","Y","128.698994","35.882891","2011-03-24"
"1510002600","-","104","Y","128.701900","35.881047","2011-03-24"
"1510002300","-","104","Y","128.702847","35.880465","2011-03-24"
"1520001500","서대구IC","108","Y","128.534027","35.880758","2011-03-24"
"1520001300","서대구IC","108","Y","128.530156","35.879399","2011-03-24"
"1510001400","-","104","Y","128.740238","35.873040","2011-03-24"
"1520000900","서대구IC","108","Y","128.531464","35.873681","2011-03-24"
"1510001100","-","104","Y","128.741706","35.872237","2011-03-24"
"1570006700","화원IC","108","Y","128.484996","35.801817","2011-03-24"
"1570006400","화원IC","108","Y","128.480133","35.800604","2011-03-24"
"1570006300","화원IC","108","Y","128.482013","35.799731","2011-03-24"
"1570005900","옥포JC","108","Y","128.464778","35.795682","2011-03-24"
"1570005600","옥포JC","108","Y","128.461590","35.790654","2011-03-24"
"1570005200","옥포JC","108","Y","128.464852","35.789343","2011-03-24"
"1570004500","달성IC","108","Y","128.473901","35.769697","2011-03-24"
"1570004100","달성1터널 북측","104","Y","128.477535","35.757788","2011-03-24"
"1570001100","현풍IC","108","Y","128.434561","35.678634","2011-03-24"
"1570000900","현풍IC","108","Y","128.436691","35.674266","2011-03-24"
"1510004700","도동JC","108","Y","128.667196","35.917347","2011-03-24"
"1510004800","도동대교","104","Y","128.667540","35.920821","2011-03-24"
"1510004900","도동대교","104","Y","128.674480","35.930962","2011-03-24"
"1510005000","도평터널","104","Y","128.675925","35.931615","2011-03-24"
"1510005100","도평터널","104","Y","128.683851","35.935089","2011-03-24"
"1510005200","백안터널","104","Y","128.696612","35.942349","2011-03-24"
"1510005300","백안터널","104","Y","128.701835","35.946093","2011-03-24"
"1510005400","와촌터널","104","Y","128.721226","35.953790","2011-03-24"
"3600009400","-","105","Y","128.757330","35.876190","2011-03-24"
"3600008900","대구동구-경북경산 경계","105","Y","128.760730","35.874573","2011-03-24"
"3600006900","중산삼거리","101","Y","128.722332","35.835345","2011-03-24"
"3660009900","경북청도-대구달성 경계","105","Y","128.677202","35.721051","2011-03-24"
"1530004100","중동교서편","104","Y","128.606458","35.841480","2011-03-24"
"1550010200","중동교동편","104","Y","128.607719","35.841241","2011-03-24"
"1530002000","상동교서편","104","Y","128.605420","35.834850","2011-03-24"
"1550008300","상동교동편","104","Y","128.606740","35.834485","2011-03-24"
"1550006100","용두교서편","104","Y","128.608557","35.825052","2011-03-24"
"1550006200","용두교동편","104","Y","128.609627","35.825181","2011-03-24"
"1540021100","서변대교","104","Y","128.585472","35.908219","2011-03-24"
"1540020700","조야교","104","Y","128.577941","35.907119","2011-03-24"
"1540019200","노곡교","104","Y","128.564017","35.903825","2011-03-24"
"1520007200","매천대교","101","Y","128.542192","35.891891","2011-03-24"
"1540015700","매천대교","104","Y","128.542030","35.894703","2011-03-24"
"1540017700","공항교","104","Y","128.626532","35.899975","2011-03-24"
"1510013000","공항교","104","Y","128.630617","35.900832","2011-03-24"
"1510009800","화랑교","104","Y","128.659392","35.876437","2011-03-24"
"1510010300","화랑교","104","Y","128.661125","35.876837","2011-03-24"
"1510013800","-","101","Y","128.697753","35.989213","2011-03-24"
"1540009500","-","103","Y","128.585195","35.880580","2011-03-24"
"1540008500","-","103","Y","128.599333","35.876965","2011-03-24"
"1530003800","-","103","Y","128.601076","35.840791","2011-03-24"
"1540018700","-","103","Y","128.570679","35.902384","2011-03-24"
"1540018000","-","101","Y","128.593391","35.900610","2011-03-24"
"1540018600","-","101","Y","128.593311","35.901875","2011-03-24"
"1540015500","-","101","Y","128.593036","35.894227","2011-03-24"
"1550009600","-","101","Y","128.607741","35.840227","2011-03-24"
"1550010400","-","101","Y","128.608008","35.842409","2011-03-24"
"1550010500","-","101","Y","128.608029","35.843491","2011-03-24"
"1550011100","-","101","Y","128.607644","35.845982","2011-03-24"
"1550011200","-","101","Y","128.607527","35.846491","2011-03-24"
"1550012200","-","101","Y","128.607780","35.848199","2011-03-24"
"1550012300","-","101","Y","128.608048","35.849060","2011-03-24"
"1550013100","-","101","Y","128.608847","35.852806","2011-03-24"
"1550013800","-","101","Y","128.608842","35.854064","2011-03-24"
"1550014600","-","101","Y","128.608515","35.857132","2011-03-24"
"1550014400","-","101","Y","128.608711","35.855776","2011-03-24"
"1550015100","-","101","Y","128.608820","35.860088","2011-03-24"
"1550015000","-","101","Y","128.608493","35.858901","2011-03-24"
"1550015200","-","101","Y","128.610075","35.862070","2011-03-24"
"1550015400","-","101","Y","128.610604","35.862505","2011-03-24"
"1550016400","-","101","Y","128.614712","35.867201","2011-03-24"
"1550016000","-","101","Y","128.613881","35.865482","2011-03-24"
"1550007000","-","101","N","128.633964","35.827766","2011-03-24"
"1540001700","팔달교","104","Y","128.549695","35.896729","2011-03-24"
"1540001200","팔달교","101","N","128.551792","35.893982","2011-03-24"
"1500000100","수성교서편","104","Y","128.608445","35.861733","2011-03-24"
"1500000500","봉산육거리","101","N","128.599459","35.863896","2011-03-24"
"1500000400","삼덕네거리","101","N","128.602626","35.863242","2011-03-24"
"1500000800","계산오거리","101","N","128.587595","35.866440","2011-03-24"
"1500000700","반월당","101","N","128.593346","35.865483","2011-03-24"
"1500000600","신남사거리","101","N","128.582338","35.864879","2011-03-24"
"1500000300","-","101","N","128.574137","35.862663","2011-03-24"
"1500000200","수성교네거리","101","N","128.608207","35.861893","2011-03-24"
"1520000500","반고개네거리","101","N","128.572044","35.862069","2011-03-24"
"1520000300","내당역네거리","101","N","128.564619","35.860135","2011-03-24"
"1550004600","수성교동편","104","Y","128.609054","35.861362","2011-03-24"
"1550003800","-","101","Y","128.640415","35.858885","2011-03-24"
"1550003700","수성구청역","101","N","128.635763","35.858842","2011-03-24"
"1550004000","-","101","Y","128.623972","35.859288","2011-03-24"
"1550004500","-","101","N","128.609482","35.861101","2011-03-24"
"1550004400","대구은행네거리","101","N","128.614113","35.859797","2011-03-24"
"1550004300","수성네거리","101","N","128.617613","35.859660","2011-03-24"
"1550004200","-","101","Y","128.620874","35.859507","2011-03-24"
"1550004100","-","101","Y","128.622453","35.859396","2011-03-24"
"1540007600","-","101","Y","128.553531","35.958761","2011-03-24"
"1540007200","읍내삼거리","101","N","128.551376","35.946980","2011-03-24"
"1540006700","칠곡지하차도","104","Y","128.548777","35.934767","2011-03-24"
"1540006300","칠곡네거리","101","N","128.548459","35.932766","2011-03-24"
"1540006100","칠곡지하차도","104","Y","128.548225","35.931286","2011-03-24"
"1540006000","-","101","N","128.538928","35.930807","2011-03-24"
"1540005500","공원네거리","101","N","128.547319","35.925625","2011-03-24"
"1540005400","-","101","Y","128.543496","35.925499","2011-03-24"
"1540005200","태전삼거리","101","N","128.546474","35.920228","2011-03-24"
"1540004700","-","101","N","128.548478","35.913565","2011-03-24"
"1570009800","-","105","Y","128.410840","35.906206","2011-03-24"
"1540003900","-","101","Y","128.546821","35.903668","2011-03-24"
"1540003500","-","101","N","128.603699","35.902411","2011-03-24"
"1540003400","연암네거리","101","N","128.596310","35.901680","2011-03-24"
"1540002900","백사벌네거리","101","N","128.588848","35.900820","2011-03-24"
"1540002700","산격중학교","101","N","128.609090","35.900299","2011-03-24"
"1540002600","노원네거리","101","Y","128.579330","35.899430","2011-03-24"
"1540002500","복현고가차도","104","Y","128.613455","35.898235","2011-03-24"
"1540002300","복현오거리","101","N","128.614954","35.897643","2011-03-24"
"1540002000","복현고가차도","104","Y","128.616080","35.896748","2011-03-24"
"1540001900","-","101","Y","128.574786","35.896896","2011-03-24"
"1540001500","-","101","Y","128.617858","35.895335","2011-03-24"
"1540001300","-","101","Y","128.571232","35.894829","2011-03-24"
"1540000900","-","101","Y","128.552642","35.893070","2011-03-24"
"1540000800","-","101","N","128.567730","35.892796","2011-03-24"
"1540000700","복현네거리","101","N","128.622217","35.892372","2011-03-24"
"1510004100","입석사거리","101","N","128.643538","35.892076","2011-03-24"
"1540000600","-","101","N","128.553183","35.892487","2011-03-24"
"1540000500","-","101","N","128.624122","35.891528","2011-03-24"
"1540000400","-","101","Y","128.565086","35.891279","2011-03-24"
"1540000300","상신삼거리","101","N","128.554613","35.890956","2011-03-24"
"1510004000","-","101","Y","128.642295","35.889882","2011-03-24"
"1510003900","아양교동측","104","Y","128.642213","35.889710","2011-03-24"
"1540000200","만평네거리","101","N","128.562287","35.889700","2011-03-24"
"1510003700","아양교","104","Y","128.641012","35.887870","2011-03-24"
"1510003600","아양네거리","101","N","128.640726","35.887546","2011-03-24"
"1510003500","등촌네거리","101","Y","128.651929","35.887398","2011-03-24"
"1510003400","큰고개고가차도","104","Y","128.630596","35.887410","2011-03-24"
"1510003300","큰고개오거리","101","N","128.632979","35.885617","2011-03-24"
"1520001800","-","101","Y","128.557553","35.885972","2011-03-24"
"1510003200","등촌초등삼거리","101","Y","128.658525","35.883771","2011-03-24"
"1510003000","큰고개고가차도","104","Y","128.636019","35.882577","2011-03-24"
"1520001700","평리교","104","Y","128.555892","35.882937","2011-03-24"
"1510002900","-","101","Y","128.636194","35.882399","2011-03-24"
"1520001600","평리교","101","N","128.555435","35.882173","2011-03-24"
"1510002500","동부지하차도","104","Y","128.639613","35.881253","2011-03-24"
"1510002400","-","101","N","128.637369","35.881218","2011-03-24"
"1510002200","-","101","Y","128.642027","35.880174","2011-03-24"
"1520001400","평리지하차도","104","Y","128.554862","35.880500","2011-03-24"
"1510002000","-","101","Y","128.643246","35.878975","2011-03-24"
"1520001200","평리네거리","101","N","128.554843","35.879072","2011-03-24"
"1570009500","-","103","Y","128.397453","35.879240","2011-03-24"
"1570009300","-","101","Y","128.416336","35.878293","2011-03-24"
"1510001700","효목네거리","101","N","128.645027","35.876546","2011-03-24"
"1570009200","-","101","Y","128.420894","35.876763","2011-03-24"
"1520001000","평리광명네거리","101","N","128.554915","35.875560","2011-03-24"
"1510001500","반야월삼거리","101","N","128.688025","35.874325","2011-03-24"
"1510001300","-","104","Y","128.740277","35.872537","2011-03-24"
"1510001200","-","104","Y","128.741790","35.872437","2011-03-24"
"1510001000","-","104","Y","128.747759","35.872015","2011-03-24"
"1550004900","-","101","Y","128.647983","35.871986","2011-03-24"
"1510000900","송정삼거리","101","N","128.733451","35.871134","2011-03-24"
"1570009100","-","101","Y","128.422182","35.871949","2011-03-24"
"1550004800","무열대삼거리","101","N","128.648828","35.870042","2011-03-24"
"1520000700","신평리네거리","101","N","128.554933","35.870453","2011-03-24"
"1510000600","-","101","N","128.693285","35.869319","2011-03-24"
"1510000500","-","101","Y","128.696365","35.867344","2011-03-24"
"1510000400","안심주공네거리","101","N","128.701643","35.866752","2011-03-24"
"1510000300","안심중학삼거리","101","N","128.707884","35.866107","2011-03-24"
"1510000200","-","101","N","128.718114","35.866001","2011-03-24"
"3690016200","칠곡물류IC","","","","","2018-10-29"
"3690016000","칠곡물류IC","","","","","2018-10-29"
"1540018900","-","102","Y","128.588802","35.903021","2011-03-24"
"1540002100","-","101","Y","128.548855","35.897700","2011-03-24"
"1510011300","동대구역고가차도","104","Y","128.627386","35.878627","2011-03-24"
"1510011800","동대구역고가차도","104","Y","128.626176","35.881056","2011-03-24"
"1540021800","-","101","N","128.611495","35.911143","2011-03-24"
"1540021300","-","101","N","128.613114","35.908812","2011-03-24"
"1540020300","-","101","Y","128.614579","35.906702","2011-03-24"
"1540027000","국우터널","104","Y","128.593156","35.935533","2011-03-24"
"1540026900","국우터널","104","Y","128.592696","35.935358","2011-03-24"
"1540028000","국우터널","104","Y","128.590350","35.942030","2011-03-24"
"1540027900","국우터널","104","Y","128.590056","35.942010","2011-03-24"
"1510013400","공산터널","104","Y","128.657783","35.957637","2011-03-24"
"1510013300","공산터널","104","Y","128.655479","35.957197","2011-03-24"
"1540030100","-","103","Y","128.548182","35.948338","2011-03-24"
"1510005500","-","101","Y","128.728888","35.864801","2011-03-24"
"1510012500","-","101","Y","128.650326","35.886073","2011-03-24"
"1550003201","-","101","Y","128.657716","35.853354","2011-03-24"
"1510006900","-","101","Y","128.614748","35.868183","2011-03-24"
"1540008600","-","101","Y","128.605646","35.877402","2011-03-24"
"1530002100","-","101","Y","128.605271","35.834891","2011-03-24"
"1530002800","-","101","Y","128.605273","35.836339","2011-03-24"
"1540019900","-","102","Y","128.563092","35.905629","2011-03-24"
"1570010300","-","101","Y","128.447320","35.672378","2011-03-24"
"1570010200","-","101","Y","128.454308","35.669747","2011-03-24"
"1570000501","-","101","Y","128.449533","35.669569","2011-03-24"
"1570010500","샤니삼거리","101","Y","128.461771","35.733709","2011-03-24"
"1540022400","서변고가차도","104","Y","128.595463","35.914887","2011-03-24"
"1540023100","서변교네거리","101","Y","128.599358","35.916532","2011-03-24"
"1530004300","-","101","Y","128.606080","35.841542","2011-03-24"
"1540016200","-","101","Y","128.592842","35.895761","2011-03-24"
"1540015100","-","101","Y","128.593881","35.893354","2011-03-24"
"1540010700","-","101","Y","128.602433","35.884426","2011-03-24"
"1550009100","-","101","Y","128.607584","35.839304","2011-03-24"
"1530007200","대봉지하차도","104","Y","128.607194","35.852581","2011-03-24"
"1530006800","희망지하차도","104","Y","128.606499","35.850723","2011-03-24"
"1540019300","-","101","Y","128.598740","35.904112","2011-03-24"
"1570010900","-","101","Y","128.479831","35.744101","2011-03-24"
"1530006900","-","101","N","128.573396","35.851010","2011-03-24"
"1540009000","-","101","N","128.588805","35.878993","2011-03-24"
"1540009200","-","101","Y","128.589052","35.879801","2011-03-24"
"1540009900","-","101","Y","128.582713","35.881070","2011-03-24"
"1540010000","달성학교네거리","101","Y","128.580729","35.881479","2011-03-24"
"1540008700","대구역북편네거리","101","N","128.595155","35.877742","2011-03-24"
"1540008400","-","101","Y","128.601376","35.876534","2011-03-24"
"1540008300","칠성시장네거리","101","N","128.604154","35.876342","2011-03-24"
"1540008000","-","101","N","128.605344","35.874361","2011-03-24"
"1530006300","이천네거리","101","Y","128.598596","35.847955","2011-03-24"
"1500001100","-","101","N","128.603737","35.855220","2011-03-24"
"1530005700","-","101","N","128.590559","35.847056","2011-03-24"
"1530007000","성당시장네거리","101","N","128.573679","35.851207","2011-03-24"
"1500001800","명덕네거리","101","N","128.590723","35.857005","2011-03-24"
"1500001400","계명네거리","101","N","128.582867","35.856323","2011-03-24"
"1500002700","-","101","N","128.582423","35.863655","2011-03-24"
"1500002200","-","101","Y","128.600730","35.860492","2011-03-24"
"1500002100","-","101","N","128.598930","35.860075","2011-03-24"
"1500002400","남문시장네거리","101","N","128.592710","35.861212","2011-03-24"
"1500001300","건들바위네거리","101","N","128.598205","35.855698","2011-03-24"
"1500004400","종각네거리","101","N","128.604073","35.869226","2011-03-24"
"1500005900","동인네거리","101","N","128.604494","35.872542","2011-03-24"
"1500004600","공평네거리","101","N","128.600333","35.870022","2011-03-24"
"1500006500","교동네거리","101","N","128.601408","35.873792","2011-03-24"
"1500005000","-","101","Y","128.585135","35.870496","2011-03-24"
"1500003600","-","101","Y","128.586982","35.867692","2011-03-24"
"1500005400","중앙네거리","101","N","128.594066","35.870988","2011-03-24"
"1500006800","대구역네거리","101","N","128.594908","35.875062","2011-03-24"
"1500004700","서성네거리","101","N","128.587286","35.870060","2011-03-24"
"1520003200","-","101","Y","128.563836","35.865721","2011-03-24"
"1520004300","서대구전화국사거리","101","N","128.562901","35.871898","2011-03-24"
"1500002000","내당네거리","101","N","128.574579","35.860000","2011-03-24"
"1500003000","-","103","Y","128.573790","35.865353","2011-03-24"
"1500005200","동산네거리","101","Y","128.582247","35.870594","2011-03-24"
"1500006100","-","101","Y","128.582172","35.873437","2011-03-24"
"1500006400","-","101","Y","128.580091","35.873707","2011-03-24"
"1500006900","태평네거리","101","N","128.588140","35.876427","2011-03-24"
"1500007100","달성네거리","101","N","128.581587","35.877627","2011-03-24"
"1500007200","-","101","N","128.577946","35.878342","2011-03-24"
"1500004900","큰장네거리","101","N","128.579476","35.870418","2011-03-24"
"1520005100","-","101","N","128.571250","35.875998","2011-03-24"
"1520005700","북비산네거리","101","N","128.571346","35.879640","2011-03-24"
"1520005600","-","101","N","128.563144","35.879311","2011-03-24"
"1520005000","-","101","Y","128.563001","35.875746","2011-03-24"
"1520004600","-","101","N","128.546860","35.874022","2011-03-24"
"1520005400","-","101","Y","128.547195","35.878788","2011-03-24"
"1520004700","이현네거리","101","N","128.538945","35.874312","2011-03-24"
"1520005300","이현삼거리","101","N","128.539901","35.878536","2011-03-24"
"1520005200","-","101","Y","128.534952","35.878400","2011-03-24"
"1520004500","비산네거리","101","N","128.571146","35.872245","2011-03-24"
"1520003400","-","101","N","128.571003","35.867086","2011-03-24"
"1520004100","-","101","N","128.549258","35.869401","2011-03-24"
"1520004000","중리네거리","101","N","128.546586","35.868938","2011-03-24"
"1520003900","서대구공단네거리","101","N","128.537671","35.868657","2011-03-24"
"1520002100","와룡네거리","101","N","128.537447","35.858737","2011-03-24"
"1520002700","-","101","Y","128.550523","35.862672","2011-03-24"
"1520002300","당산네거리","101","Y","128.546116","35.861134","2011-03-24"
"1560002400","-","101","Y","128.530633","35.861431","2011-03-24"
"1540013800","경북도청네거리","101","N","128.599127","35.890638","2011-03-24"
"1540013400","대구체육관삼거리","101","Y","128.600485","35.889965","2011-03-24"
"1540014400","-","101","Y","128.602861","35.892568","2011-03-24"
"1540016000","산격초등학교","101","N","128.605247","35.894990","2011-03-24"
"1540014500","-","101","Y","128.605210","35.892594","2011-03-24"
"1540013700","-","101","N","128.605215","35.890439","2011-03-24"
"1540011900","-","101","N","128.601956","35.887946","2011-03-24"
"1540011500","-","101","N","128.602416","35.886331","2011-03-24"
"1510012000","-","101","N","128.611953","35.881874","2011-03-24"
"1510011900","공고네거리","101","N","128.614094","35.881156","2011-03-24"
"1510012100","-","101","N","128.618898","35.882118","2011-03-24"
"1510012200","파티마삼거리","101","N","128.623983","35.883373","2011-03-24"
"1510012400","-","101","N","128.626910","35.885048","2011-03-24"
"1540015400","-","101","Y","128.616188","35.893922","2011-03-24"
"1540022300","-","101","Y","128.613289","35.914595","2011-03-24"
"1540022700","-","101","Y","128.619597","35.915753","2011-03-24"
"1540022900","-","101","Y","128.623420","35.916433","2011-03-24"
"1540023000","-","103","Y","128.630051","35.916467","2011-03-24"
"1540022000","-","101","Y","128.626651","35.911758","2011-03-24"
"1540021600","-","101","Y","128.623847","35.909664","2011-03-24"
"1540020200","검단네거리","101","N","128.619019","35.906131","2011-03-24"
"1540019100","-","101","Y","128.616752","35.903700","2011-03-24"
"1540020800","-","101","Y","128.615457","35.907356","2011-03-24"
"1540019600","-","101","N","128.611748","35.905159","2011-03-24"
"1540021200","-","101","N","128.617524","35.908295","2011-03-24"
"1540021700","-","101","N","128.616181","35.910222","2011-03-24"
"1540020900","-","101","N","128.610173","35.907435","2011-03-24"
"1540022100","-","101","N","128.614658","35.912551","2011-03-24"
"1540021500","-","101","N","128.608278","35.909639","2011-03-24"
"1540019400","-","101","N","128.603180","35.904215","2011-03-24"
"1510005900","-","101","N","128.629595","35.866766","2011-03-24"
"1510011200","-","101","Y","128.620275","35.878562","2011-03-24"
"1510011600","-","101","Y","128.626901","35.880304","2011-03-24"
"1510009500","-","101","Y","128.641915","35.874746","2011-03-24"
"1510009700","-","101","Y","128.622990","35.875872","2011-03-24"
"1550004001","범어네거리","101","N","128.626257","35.859123","2011-03-24"
"1550016500","-","101","N","128.633529","35.867296","2011-03-24"
"1550015300","-","101","Y","128.635654","35.862175","2011-03-24"
"1550015500","동원초교남편","101","Y","128.639675","35.862594","2011-03-24"
"1540033200","북대구IC진입","108","Y","128.585562","35.912755","2011-03-24"
"1540033300","북대구IC진입","108","Y","128.586713","35.913222","2011-03-24"
"1540032900","북대구IC진출","108","Y","128.586373","35.911099","2011-03-24"
"1540035600","주공그린빌5단지601동앞","101","Y","128.566614","35.943777","2011-03-24"
"1540031900","섬유제품관","101","Y","128.610956","35.906232","2011-03-24"
"1560026700","대구공업대학앞","101","Y","128.541291","35.834072","2011-03-24"
"1540031400","서변로-신천대로진입","101","Y","128.580414","35.903728","2011-03-24"
"1540030500","침산3차푸르지오101동앞","101","Y","128.589041","35.888720","2011-03-24"
"1560028700","성서주동아파트610동앞","101","Y","128.520948","35.853775","2011-03-24"
"1560024700","월배지구대","101","Y","128.526652","35.814649","2011-03-24"
"1570014700","창신아파트106동앞","101","Y","128.497926","35.808489","2011-03-24"
"1560027000","성당중학교","101","Y","128.548737","35.839424","2011-03-24"
"1560027100","삼천리활어회","101","Y","128.541436","35.839719","2011-03-24"
"1550019800","대구성동초등교입구","103","Y","128.633577","35.840619","2011-03-24"
"1510017900","불로시장","101","Y","128.640975","35.909928","2011-03-24"
"1560028100","원화여고","101","Y","128.546882","35.849636","2011-03-24"
"1540035000","한양수정아파트212동앞","103","Y","128.541178","35.936719","2011-03-24"
"1520008400","북비산초등교입구","102","Y","128.563156","35.882829","2011-03-24"
"1560029800","두류공원앞","101","Y","128.565722","35.857028","2011-03-24"
"1560028200","두류정수장남편","101","Y","128.553066","35.850545","2011-03-24"
"1560025900","해맞이아파트1동앞","102","Y","128.553159","35.830586","2011-03-24"
"1560024600","상인1동우체국","101","Y","128.544643","35.814207","2011-03-24"
"1560027400","남부초등교앞","102","Y","128.549495","35.845185","2011-03-24"
"1560028800","영남우방타운1차상가입구","101","Y","128.515374","35.853842","2011-03-24"
"1560029200","대구지방조달청","101","Y","128.512710","35.855296","2011-03-24"
