도로형태_대분류,도로형태,시간대,사고건수,사망자수,중상자수,경상자수,부상신고자수
단일로,기타단일로,14시-16시,10604,147,2892,11851,929
단일로,기타단일로,16시-18시,11900,129,3000,13090,1089
단일로,기타단일로,18시-20시,12264,160,3056,13109,1084
단일로,기타단일로,20시-22시,8062,158,2080,8467,688
단일로,기타단일로,22시-24시,5807,142,1519,6184,551
교차로,교차로내,00시-02시,1894,39,656,2220,169
교차로,교차로내,02시-04시,782,19,297,895,72
교차로,교차로내,04시-06시,1283,30,476,1304,97
교차로,교차로내,06시-08시,3458,53,1130,3492,225
교차로,교차로내,08시-10시,6398,55,1775,7245,459
교차로,교차로내,10시-12시,6407,56,1917,6945,449
교차로,교차로내,12시-14시,7276,65,2220,8141,597
교차로,교차로내,14시-16시,7286,54,2199,8174,588
교차로,교차로내,16시-18시,8156,66,2266,9233,661
교차로,교차로내,18시-20시,9089,61,2579,9757,674
교차로,교차로내,20시-22시,6193,51,1895,6706,454
교차로,교차로내,22시-24시,4082,41,1236,4704,327
교차로,교차로횡단보도내,00시-02시,164,4,73,105,7
교차로,교차로횡단보도내,02시-04시,53,6,15,36,2
교차로,교차로횡단보도내,04시-06시,135,14,62,63,5
교차로,교차로횡단보도내,06시-08시,415,13,224,187,17
교차로,교차로횡단보도내,08시-10시,715,18,284,447,32
교차로,교차로횡단보도내,10시-12시,662,17,275,395,32
교차로,교차로횡단보도내,12시-14시,665,12,287,429,29
교차로,교차로횡단보도내,14시-16시,720,11,281,473,40
교차로,교차로횡단보도내,16시-18시,884,9,305,624,51
교차로,교차로횡단보도내,18시-20시,1147,11,409,792,69
교차로,교차로횡단보도내,20시-22시,774,11,306,520,31
교차로,교차로횡단보도내,22시-24시,484,12,175,353,21
교차로,교차로부근,00시-02시,989,17,253,1142,65
교차로,교차로부근,02시-04시,431,6,99,489,48
교차로,교차로부근,04시-06시,530,22,164,516,41
교차로,교차로부근,06시-08시,1500,23,376,1553,82
교차로,교차로부근,08시-10시,2751,21,602,3015,192
교차로,교차로부근,10시-12시,2947,26,670,3392,229
교차로,교차로부근,12시-14시,3368,23,841,3907,234
교차로,교차로부근,14시-16시,3528,30,775,4246,286
교차로,교차로부근,16시-18시,3942,20,848,4643,294
교차로,교차로부근,18시-20시,4346,35,968,4912,330
교차로,교차로부근,20시-22시,3424,23,781,4177,253
교차로,교차로부근,22시-24시,2667,21,613,3333,178
철길건널목,철길건널목,18시-20시,1,0,0,1,0
기타,기타,00시-02시,373,13,87,355,41
기타,기타,02시-04시,164,8,46,137,22
기타,기타,04시-06시,216,14,71,181,19
기타,기타,06시-08시,592,8,178,541,52
기타,기타,08시-10시,1206,15,271,1171,98
기타,기타,10시-12시,1439,24,342,1494,117
기타,기타,12시-14시,1633,18,411,1701,137
기타,기타,14시-16시,1843,21,467,1969,135
기타,기타,16시-18시,1901,12,371,2028,176
기타,기타,18시-20시,1845,22,385,1912,134
기타,기타,20시-22시,1255,12,265,1284,92
기타,기타,22시-24시,873,11,201,921,89
불명,불명,00시-02시,4,0,1,2,1
불명,불명,02시-04시,2,0,2,0,0
불명,불명,04시-06시,4,0,3,5,0
불명,불명,06시-08시,8,1,2,8,0
불명,불명,08시-10시,22,0,9,18,1
불명,불명,10시-12시,23,1,4,23,1
불명,불명,12시-14시,21,0,8,15,1
불명,불명,14시-16시,24,1,6,18,3
불명,불명,16시-18시,30,2,7,28,2
불명,불명,18시-20시,31,1,15,25,2
불명,불명,20시-22시,14,0,8,14,1
불명,불명,22시-24시,19,0,3,15,3
