"도로형태_대분류","도로형태","발생시간_분류","사고건수","사망자수","중상자수","경상자수","부상신고자수"
"단일로","지하차도(도로)내","14시-16시","212","5","91","237","12"
"단일로","지하차도(도로)내","16시-18시","219","3","82","232","20"
"단일로","지하차도(도로)내","18시-20시","206","8","79","193","18"
"단일로","지하차도(도로)내","20시-22시","162","6","49","163","18"
"단일로","지하차도(도로)내","22시-24시","130","6","47","154","22"
"단일로","기타단일로","00시-02시","4560","140","1507","4670","453"
"단일로","기타단일로","02시-04시","2859","132","1007","2735","307"
"단일로","기타단일로","04시-06시","2879","201","1150","2368","313"
"단일로","기타단일로","06시-08시","5427","197","2017","5201","467"
"단일로","기타단일로","08시-10시","9665","142","3098","9994","914"
"단일로","기타단일로","10시-12시","9064","175","3190","9293","893"
"단일로","기타단일로","12시-14시","9615","179","3341","10063","1003"
"단일로","기타단일로","14시-16시","10840","200","3642","11366","1213"
"단일로","기타단일로","16시-18시","12328","196","3986","12880","1414"
"단일로","기타단일로","18시-20시","13190","256","4298","13468","1398"
"단일로","기타단일로","20시-22시","9298","219","3057","9419","940"
"단일로","기타단일로","22시-24시","7289","203","2333","7438","688"
"교차로","교차로내","00시-02시","3091","34","1211","3772","302"
"교차로","교차로내","02시-04시","1689","28","695","1984","154"
"교차로","교차로내","04시-06시","2061","47","940","2198","152"
"교차로","교차로내","06시-08시","4239","72","1755","4350","356"
"교차로","교차로내","08시-10시","7213","68","2500","7764","664"
"교차로","교차로내","10시-12시","6310","75","2417","6948","538"
"교차로","교차로내","12시-14시","6399","65","2373","7111","628"
"교차로","교차로내","14시-16시","6723","55","2356","7535","675"
"교차로","교차로내","16시-18시","8097","80","2883","8789","801"
"교차로","교차로내","18시-20시","8662","73","2956","9067","825"
"교차로","교차로내","20시-22시","6225","57","2171","6819","589"
"교차로","교차로내","22시-24시","4824","44","1798","5480","498"
"교차로","교차로횡단보도내","00시-02시","292","15","123","176","22"
"교차로","교차로횡단보도내","02시-04시","140","3","74","87","6"
"교차로","교차로횡단보도내","04시-06시","227","24","120","93","15"
"교차로","교차로횡단보도내","06시-08시","477","18","238","218","24"
"교차로","교차로횡단보도내","08시-10시","728","10","322","415","38"
"교차로","교차로횡단보도내","10시-12시","640","11","318","346","30"
"교차로","교차로횡단보도내","12시-14시","604","9","274","344","35"
"교차로","교차로횡단보도내","14시-16시","716","16","302","437","31"
"교차로","교차로횡단보도내","16시-18시","932","18","402","548","55"
"교차로","교차로횡단보도내","18시-20시","1108","23","484","642","74"
"교차로","교차로횡단보도내","20시-22시","857","18","381","524","41"
"교차로","교차로횡단보도내","22시-24시","531","6","234","328","24"
"교차로","교차로부근","00시-02시","1850","24","580","2333","173"
"교차로","교차로부근","02시-04시","1120","19","334","1360","93"
"교차로","교차로부근","04시-06시","990","23","346","1062","83"
"교차로","교차로부근","06시-08시","1846","33","588","1917","165"
"교차로","교차로부근","08시-10시","3244","25","922","3609","259"
"교차로","교차로부근","10시-12시","2887","36","914","3133","223"
"교차로","교차로부근","12시-14시","3036","37","903","3550","308"
"교차로","교차로부근","14시-16시","3360","33","955","3712","370"
"교차로","교차로부근","16시-18시","3766","34","1038","4233","414"
"교차로","교차로부근","18시-20시","4357","37","1141","4948","406"
"교차로","교차로부근","20시-22시","3547","43","960","4218","342"
"교차로","교차로부근","22시-24시","2969","37","799","3684","277"
"철길건널목","철길건널목","10시-12시","1","1","0","0","0"
"철길건널목","철길건널목","14시-16시","2","1","1","4","1"
"기타/불명","기타/불명","00시-02시","396","13","156","348","29"
"기타/불명","기타/불명","02시-04시","241","5","81","225","27"
"기타/불명","기타/불명","04시-06시","231","15","95","191","24"
"기타/불명","기타/불명","06시-08시","456","12","157","379","44"
"기타/불명","기타/불명","08시-10시","925","7","288","840","114"
"기타/불명","기타/불명","10시-12시","1018","11","343","961","88"
"기타/불명","기타/불명","12시-14시","1100","7","337","1056","113"
"기타/불명","기타/불명","14시-16시","1172","13","339","1111","133"
"기타/불명","기타/불명","16시-18시","1310","13","360","1226","144"
"기타/불명","기타/불명","18시-20시","1297","23","376","1213","140"
"기타/불명","기타/불명","20시-22시","900","9","269","819","79"
"기타/불명","기타/불명","22시-24시","627","7","213","597","54"
